   step	 time	 cost	distance
  720	163.1	184.5	170.1
  721	163.6	185.0	170.6
  722	164.0	185.5	171.0
  723	164.5	186.0	171.5
  724	164.9	186.4	172.0
  725	165.4	186.9	172.4
  726	165.8	187.4	172.9
  727	166.3	187.9	173.4
  728	166.7	188.3	173.9
  729	167.2	188.8	174.3
  730	167.7	189.3	174.8
  731	168.1	189.8	175.3
  732	168.6	190.3	175.8
  733	169.0	190.8	176.2
  734	169.5	191.2	176.7
  735	170.0	191.7	177.2
  736	170.4	192.2	177.7
  737	170.9	192.7	178.1
  738	171.3	193.2	178.6
  739	171.8	193.7	179.1
  740	172.3	194.2	179.6
  741	172.7	194.7	180.0
  742	173.2	195.2	180.5
  743	173.7	195.7	181.0
  744	174.1	196.2	181.5
  745	174.6	196.7	182.0
  746	175.1	197.2	182.5
  747	175.5	197.7	182.9
  748	176.0	198.2	183.4
  749	176.4	198.7	183.9
  750	176.9	199.2	184.4
  751	177.4	199.7	184.9
  752	177.9	200.2	185.4
  753	178.3	200.7	185.9
  754	178.8	201.2	186.4
  755	179.3	201.7	186.9
  756	179.7	202.2	187.3
  757	180.2	202.7	187.8
  758	180.7	203.2	188.3
  759	181.1	203.7	188.8
  760	181.6	204.2	189.3
  761	182.1	204.7	189.8
  762	182.6	205.2	190.3
  763	183.0	205.7	190.8
  764	183.5	206.2	191.3
  765	184.0	206.7	191.8
  766	184.5	207.2	192.3
  767	184.9	207.7	192.8
  768	185.4	208.2	193.3
  769	185.9	208.7	193.8
  770	186.4	209.2	194.3
  771	186.9	209.8	194.8
  772	187.3	210.3	195.3
  773	187.8	210.8	195.8
  774	188.3	211.3	196.3
  775	188.8	211.8	196.8
  776	189.3	212.3	197.3
  777	189.8	212.8	197.8
  778	190.3	213.3	198.3
  779	190.7	213.9	198.8
  780	191.2	214.4	199.3
  781	191.7	214.9	199.8
  782	192.2	215.4	200.3
  783	192.7	215.9	200.8
  784	193.2	216.4	201.3
  785	193.7	216.9	201.8
  786	194.2	217.5	202.3
  787	194.7	218.0	202.8
  788	195.2	218.5	203.3
  789	195.6	219.0	203.8
  790	196.1	219.6	204.3
  791	196.6	220.1	204.8
  792	197.1	220.6	205.3
  793	197.6	221.1	205.9
  794	198.1	221.7	206.4
  795	198.6	222.2	206.9
  796	199.1	222.7	207.4
  797	199.6	223.2	207.9
  798	200.1	223.8	208.4
  799	200.6	224.3	208.9
  800	201.1	224.8	209.4
  801	201.6	225.3	209.9
  802	202.1	225.9	210.4
  803	202.6	226.4	210.9
  804	203.1	226.9	211.4
  805	203.6	227.5	212.0
  806	204.1	228.0	212.5
  807	204.6	228.5	213.0
  808	205.1	229.0	213.5
  809	205.6	229.6	214.0
  810	206.1	230.1	214.5
  811	206.6	230.7	215.0
  812	207.1	231.2	215.5
  813	207.6	231.7	216.0
  814	208.1	232.3	216.6
  815	208.6	232.8	217.1
  816	209.1	233.4	217.6
  817	209.6	233.9	218.1
  818	210.2	234.5	218.6
